Kolom 1,Kolom 2,Kolom 3,Kolom 4,Kolom 5,Kolom 6
id_ajar,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_jns_eval,,smallint,1,Web Service: GetRecordset:jenis_evaluasi,
id_kls,,uuid,1,ID Kelas. Web Service: GetRecordset:kelas_kuliah,
id_reg_ptk,,uuid,1,ID Dosen. Web Service: GetRecordset:dosen_pt,
id_subst,,uuid,,ID Substansi Kuliah. Web Service: GetRecordset:substansi_kuliah,
jml_tm_real,,"numeric(2,0)",,,
jml_tm_renc,,"numeric(2,0)",1,,
sks_prak_lap_subst,,"numeric(5,2)",1,,
sks_prak_subst,,"numeric(5,2)",1,,
sks_sim_subst,,"numeric(5,2)",1,,
sks_subst_tot,,"numeric(5,2)",1,jumlah sks dosen pengajar,
sks_tm_subst,,"numeric(5,2)",1,,
Terdapat 12 baris,,,,,
Deskripsi Tabel bobot_nilai,,,,,
column_name,pk,type,not_null,desc,
kode_bobot_nilai,1,uuid,1,"Primary Key, kosongkan ketika mode Tambah",
id_sms,,uuid,1,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
nilai_huruf,,character(3),1,,
bobot_nilai_min,,"numeric(5,2)",1,,
bobot_nilai_maks,,"numeric(5,2)",1,,
nilai_indeks,,"numeric(4,2)",,,
tgl_mulai_efektif,,date,1,yyyy-mm-dd,
tgl_akhir_efektif,,date,,yyyy-mm-dd,
Terdapat 8 baris,,,,,
Deskripsi Tabel daya_tampung,,,,,
column_name,pk,type,not_null,desc,
id_smt,1,character(5),1,ID Semester. Web Service: GetRecordset:semester,
id_sms,1,uuid,1,ID SMS (Satuan Manajemen Sumberdaya). Web Service: GetRecordset:sms,
target_mhs_baru,,"numeric(6,0)",,,
calon_ikut_seleksi,,"numeric(6,0)",,,
calon_lulus_seleksi,,"numeric(6,0)",,,
daftar_sbg_mhs,,"numeric(6,0)",,,
pst_undur_diri,,"numeric(5,0)",,,
tgl_awal_kul,,date,,yyyy-mm-dd,
tgl_akhir_kul,,date,,yyyy-mm-dd,
jml_mgu_kul,,"numeric(2,0)",,,
metode_kul,,character(1),,,
metode_kul_eks,,character(1),,,
Terdapat 12 baris,,,,,
Deskripsi Tabel dosen,,,,,
column_name,pk,type,not_null,desc,
a_bhs_isyarat,,"numeric(1,0)",,"Mampu Menghandle Bahasa Isyarat ?. 0: Tidak, 1: Ya",
a_braille,,"numeric(1,0)",,"Mampu Menghandle Braile ?. 0: Tidak, 1: Ya",
a_diklat_awas,,"numeric(1,0)",,,
a_lisensi_kepsek,,"numeric(1,0)",,,
akta_ijin_ajar,,character(1),,,
ds_kel,,character varying(60),1,,
email,,character varying(60),,,
id_agama,,smallint,1,"Primary Key, kosongkan ketika mode Tambah",
id_bid_pengawas,,integer,,"Primary Key, kosongkan ketika mode Tambah",
id_blob,,uuid,,,
,,,,,
id_jns_sdm,,"numeric(2,0)",1,,
id_keahlian_lab,,smallint,,"Primary Key, kosongkan ketika mode Tambah",
id_lemb_angkat,,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
id_pangkat_gol,,"numeric(2,0)",,"Primary Key, kosongkan ketika mode Tambah",
id_pekerjaan_suami_istri,,integer,1,,
id_sdm,1,uuid,1,,
,,,,,
id_stat_aktif,,"numeric(2,0)",1,"Primary Key, kosongkan ketika mode Tambah",
,,,,,
